station_name,latitude,longitude,total_bikes,institution name,category,distance,bank_count,bar_count,restaurant_count,total_institutions
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,11,Dolce BakeryAshbury CleanersRosedale's FinestRosedale 1 Hour CleanersDolce BakeryRBC Royal Bank,restaurantbarbarbarbarbank,209.0,1.0,4.0,1.0,6.0
Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,18,,,,,,,
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,18,Il CucinaTD Bank Financial GroupTD Canada Trust Branch and ATM,restaurantbankbank,74.0,2.0,0.0,1.0,3.0
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,8,Mr. GreekKibo SushiKibo SushiBlue Fin Sushi Bar,restaurantrestaurantbarbar,128.0,0.0,2.0,2.0,4.0
420 Wellington St W,43.643834,-79.396649,15,Le Select BistroMira RestaurantLe Select BistroMira RestaurantHyde LoungeSir Gnarls BartizanTemple Bar,restaurantrestaurantbarbarbarbarbar,179.0,0.0,5.0,2.0,7.0
Sentinel Rd / Finch Ave W,43.76073963892478,-79.5000273116394,15,,,,,,,
Ross St / Cecil St - SMART,43.6568254,-79.3966159,17,,,,,,,
York University Station (North),43.7741,-79.5005,15,,,,,,,
Dundas St W / Yonge St,43.656094,-79.381484,31,"JOEY Eaton CentreJOEY Eaton CentreT&A for the HolidaysOrganic Beauty BarLewis Leslyn a Barr & SolctrDavid Oake, BarristerSchreck BarristersBasman Smith LLP Barristers & SolicitorsPekoe Kombucha BarDaniel Santoro BarristerRechtshaffen Breitman Barristersî & IsollicitorsInterchange Currency Exchange",restaurantbarbarbarbarbarbarbarbarbarbarbank,321.0,1.0,10.0,1.0,12.0
Seaton St / Dundas St E - SMART,43.658777,-79.369596,32,Umi's KitchenUmi's Kitchen,restaurantbar,22.0,0.0,1.0,1.0,2.0
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,14,,,,,,,
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,19,,,,,,,
Wellington St W / Bay St,43.647259,-79.379878,55,Petit Four BakeryWalrus Pub & Beer HallPetit Four BakeryDesign Exchange Barocco Espresso BarAdesso Restaurant & BarMasquerade Cafe & BarBayshore Bank & Trust Barbados CorpGoldberg Laurence BarrDewar Mathew BarrSBI Canada Bank - State Bank of India CanadaBnn Investments LtdCanadian Blood SvcCIBC Branch & ABM - Toronto Commerce CourtCIBCTD Canada Trust Branch and ATMOrigin Merchant Partners,restaurantbarbarbarbarbarbarbarbarbankbankbankbankbankbankbank,588.0,7.0,8.0,1.0,16.0
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,19,,,,,,,
161 Bleecker St (South of Wellesley),43.666233,-79.373327,22,,,,,,,
Bay St / Scollard St,43.672152,-79.39018,15,Four Seasons Hotel TorontoEdmund a Conway BarristerD|Bar,barbarbar,123.0,0.0,3.0,0.0,3.0
Pape Ave / Gamble Ave,43.690237,-79.350119,19,,,,,,,
Queen St E / Hammersmith Ave,43.671349,-79.29451,11,Green BasilYumei SushiMamma's PizzaPizzaioloCastro's LoungeGreen BasilYumei SushiPaint NiteMamma's PizzaBubble Ball SoccerPizzaioloBark & Fitz,restaurantrestaurantrestaurantrestaurantbarbarbarbarbarbarbarbar,441.0,0.0,8.0,4.0,12.0
