station_name,name,latitude,longitude,category,distance
Summerhill Ave / Maclennan Ave,Dolce Bakery,43.685924,-79.376304,restaurant,38
Summerhill Ave / Maclennan Ave,Ashbury Cleaners,43.685924,-79.376304,bar,24
Summerhill Ave / Maclennan Ave,Rosedale's Finest,43.685924,-79.376304,bar,27
Summerhill Ave / Maclennan Ave,Rosedale 1 Hour Cleaners,43.685924,-79.376304,bar,39
Summerhill Ave / Maclennan Ave,Dolce Bakery,43.685924,-79.376304,bar,38
Summerhill Ave / Maclennan Ave,RBC Royal Bank,43.685924,-79.376304,bank,43
Victoria Park Ave / Danforth Ave,Il Cucina,43.691468,-79.288619,restaurant,36
Victoria Park Ave / Danforth Ave,TD Bank Financial Group,43.691468,-79.288619,bank,16
Victoria Park Ave / Danforth Ave,TD Canada Trust Branch and ATM,43.691468,-79.288619,bank,22
Navy Wharf Crt / Bremner Blvd,Mr. Greek,43.640722,-79.391051,restaurant,25
Navy Wharf Crt / Bremner Blvd,Kibo Sushi,43.640722,-79.391051,restaurant,39
Navy Wharf Crt / Bremner Blvd,Kibo Sushi,43.640722,-79.391051,bar,39
Navy Wharf Crt / Bremner Blvd,Blue Fin Sushi Bar,43.640722,-79.391051,bar,25
420 Wellington St W,Le Select Bistro,43.643834,-79.396649,restaurant,15
420 Wellington St W,Mira Restaurant,43.643834,-79.396649,restaurant,39
420 Wellington St W,Le Select Bistro,43.643834,-79.396649,bar,15
420 Wellington St W,Mira Restaurant,43.643834,-79.396649,bar,39
420 Wellington St W,Hyde Lounge,43.643834,-79.396649,bar,24
420 Wellington St W,Sir Gnarls Bartizan,43.643834,-79.396649,bar,24
420 Wellington St W,Temple Bar,43.643834,-79.396649,bar,23
Dundas St W / Yonge St,JOEY Eaton Centre,43.656094,-79.381484,restaurant,43
Dundas St W / Yonge St,JOEY Eaton Centre,43.656094,-79.381484,bar,43
Dundas St W / Yonge St,T&A for the Holidays,43.656094,-79.381484,bar,38
Dundas St W / Yonge St,Organic Beauty Bar,43.656094,-79.381484,bar,9
Dundas St W / Yonge St,Lewis Leslyn a Barr & Solctr,43.656094,-79.381484,bar,9
Dundas St W / Yonge St,"David Oake, Barrister",43.656094,-79.381484,bar,12
Dundas St W / Yonge St,Schreck Barristers,43.656094,-79.381484,bar,28
Dundas St W / Yonge St,Basman Smith LLP Barristers & Solicitors,43.656094,-79.381484,bar,12
Dundas St W / Yonge St,Pekoe Kombucha Bar,43.656094,-79.381484,bar,43
Dundas St W / Yonge St,Daniel Santoro Barrister,43.656094,-79.381484,bar,28
Dundas St W / Yonge St,Rechtshaffen Breitman Barristersî & Isollicitors,43.656094,-79.381484,bar,28
Dundas St W / Yonge St,Interchange Currency Exchange,43.656094,-79.381484,bank,28
Seaton St / Dundas St E - SMART,Umi's Kitchen,43.658777,-79.369596,restaurant,11
Seaton St / Dundas St E - SMART,Umi's Kitchen,43.658777,-79.369596,bar,11
Wellington St W / Bay St,Petit Four Bakery,43.647259,-79.379878,restaurant,36
Wellington St W / Bay St,Walrus Pub & Beer Hall,43.647259,-79.379878,bar,36
Wellington St W / Bay St,Petit Four Bakery,43.647259,-79.379878,bar,36
Wellington St W / Bay St,Design Exchange Barocco Espresso Bar,43.647259,-79.379878,bar,22
Wellington St W / Bay St,Adesso Restaurant & Bar,43.647259,-79.379878,bar,35
Wellington St W / Bay St,Masquerade Cafe & Bar,43.647259,-79.379878,bar,44
Wellington St W / Bay St,Bayshore Bank & Trust Barbados Corp,43.647259,-79.379878,bar,39
Wellington St W / Bay St,Goldberg Laurence Barr,43.647259,-79.379878,bar,39
Wellington St W / Bay St,Dewar Mathew Barr,43.647259,-79.379878,bar,45
Wellington St W / Bay St,SBI Canada Bank - State Bank of India Canada,43.647259,-79.379878,bank,18
